TIPLOC	type	_location_	Description	latitude	longitude
EBOU501	FOI	50.769927,0.282082	EASTBOURNE SIGNAL EB501	50.769927	0.282082
GOSP306	FOI	51.555487,-0.151355	GOSPEL OAK SIG NL 1306	51.555487	-0.151355
LEEDFLT	FOI	53.769592,-1.512743	LEEDS F.L.T.	53.769592	-1.512743
STAI467	FOI	51.432154,-0.4987	STAINES SIGNAL F467	51.432154	-0.4987
STBDXVR	FOI	50.402149,-4.187607	ST BUDEAUX VICTORIA ROAD	50.402149	-4.187607
WHIFLTN	FOI	55.85475,-4.02034	WHIFFLET NORTH JN	55.85475	-4.02034
BALLOCH	FOI	56.002635,-4.583514	BALLOCH	56.002635	-4.583514
IMNGHEJ	FOI	53.617711,-0.182398	IMMINGHAM EAST JN.	53.617711	-0.182398
COKEOVJ	OSM	52.474619,1.743634	COKE OVENS JN	52.474619	1.743634
CRKLWDJ	FOI	51.571862,-0.230694	CRICKLEWOOD DEPOT JN	51.571862	-0.230694
GRSTNSS	FOI	53.353185,-2.884345	GARSTON(SPEKE) T.C.	53.353185	-2.884345
POUPRTJ	FOI	51.470361,-0.156857	POUPARTS JN	51.470361	-0.156857
WELSFLC	FOI	52.621434,-3.145389	FRON JUNCTION	52.621434	-3.145389
ARDLUI	FOI	56.301745,-4.721464	ARDLUI	56.301745	-4.721464
HOWEACS	FOI	54.85633,-2.834449	HOWE & CO SDGS	54.85633	-2.834449
MERHDQ	FOI	51.193408,-2.438491	MEREHEAD QUARRY	51.193408	-2.438491
TACKLEY	FOI	51.881434,-1.297503	TACKLEY	51.881434	-1.297503
CRCRFTJ	FOI	53.574616,-1.183725	CARCROFT JN	53.574616	-1.183725
CRFTDEP	FOI	53.666647,-1.443781	CROFTON DEPOT	53.666647	-1.443781
SNGWLP	FOI	51.412458,0.36587	SINGLEWELL LOOP	51.412458	0.36587
STKPVIA	FOI	53.40938,-2.16572	STOCKPORT VIADUCT	53.40938	-2.16572
ULESKLF	FOI	53.853028,-1.214393	ULLESKELF	53.853028	-1.214393
WLNTNON	FOI	52.85326,-1.564315	WILLINGTON	52.85326	-1.564315
FLXSBCH	FOI	51.952524,1.333425	FELIXSTOWE BEACH	51.952524	1.333425
GRVPKUS	FOI	51.440526,0.009878	GROVE PARK UP C.H.S.	51.440526	0.009878
OLDOXAR	OSM	51.525724,-0.239075	OLD OAK COMMON ARRIVAL SIG	51.525724	-0.239075
GERDXSS	FOI	51.591828,-0.561971	GERRARDS CROSS SIDING	51.591828	-0.561971
RDNGKBL	FOI	51.45874,-0.943537	KENNET BRIDGE LOOP	51.45874	-0.943537
LTLPL22	OSM	52.461314,0.316284	Littleport	52.461314	0.316284
IMNGHIG	FOI	53.629291,-0.218393	IMMINGHAM H.I.T. (GBRF)	53.629291	-0.218393
MENHENT	FOI	50.426494,-4.409377	MENHENIOT	50.426494	-4.409377
THIL	FOI	55.250611,-3.749242	THORNHILL	55.250611	-3.749242
BERYDNJ	OSM	57.15353,-2.110482	Berryden Junction	57.15353	-2.110482
HASTPSD	FOI	50.860847,0.581481	HASTINGS PARK SIDINGS	50.860847	0.581481
FRNW	FOI	53.550351,-2.388336	FARNWORTH	53.550351	-2.388336
LSTOKNJ	FOI	51.079609,-1.780054	LAVERSTOCK NORTH JN	51.079609	-1.780054
TUEBGBF	FOI	53.404049,-2.935564	TUEBROOK SDGS GBRF	53.404049	-2.935564
HYDEN	FOI	53.464538,-2.08511	HYDE NORTH	53.464538	-2.08511
PSTH	FOI	54.15931,-3.201139	PARK SOUTH	54.15931	-3.201139
BEAMMLJ	FOI	54.585519,-1.165043	BEAM MILL JN.	54.585519	-1.165043
CARD048	OSM	51.47557,-3.184595	Cardiff Signal 7048	51.47557	-3.184595
CRKLWCJ	FOI	51.553981,-0.208496	CRICKLEWOOD CURVE JN	51.553981	-0.208496
DUNANSB	FOI	56.187238,-3.966506	DUNBLANE S.B.	56.187238	-3.966506
HOOJ611	FOI	51.43647,0.446437	HOO JUNCTION SIGNAL NK1611	51.43647	0.446437
PTBRLOP	FOI	51.483843,-2.693366	PORTBURY DOCK STOP BOARD	51.483843	-2.693366
TRFDFLT	FOI	53.461637,-2.300439	TRAFFORD PARK F.L.T.	53.461637	-2.300439
BEDFDCS	FOI	52.133119,-0.477282	BEDFORD C S	52.133119	-0.477282
BSNGSBM	FOI	51.269945,-1.078933	BASINGSTOKE BARTN ML C.S.D	51.269945	-1.078933
CRSKYJN	FOI	51.62274,-3.129321	CROSS KEYS JCN	51.62274	-3.129321
EFLDTMD	FOI	55.889814,-4.24015	EASTFIELD H.S.	55.889814	-4.24015
LOWHXSB	FOI	54.831069,-2.76909	LOW HOUSE CROSSING S.B.	54.831069	-2.76909
LTCEADL	FOI	51.982825,-0.219948	LETCHWORTH A/D LINE	51.982825	-0.219948
NWBICUL	FOI	54.656248,-2.60613	CULGAITH SIGNAL BOX LC	54.656248	-2.60613
PEMBRKD	FOI	51.693782,-4.936765	PEMBROKE DOCK	51.693782	-4.936765
SADWJN	FOI	51.504561,-2.700741	ST ANDREWS JN (AVON)	51.504561	-2.700741
CAUSLND	FOI	50.405708,-4.466392	CAUSELAND	50.405708	-4.466392
CLCHGL	FOI	51.901957,0.886223	COLCHESTER GOODS LOOP	51.901957	0.886223
PDSTWBT	NaPTAN_MAP	50.539609,-4.938281	Padstow Old Railway Station-Bus Terminus	50.539609	-4.938281
STKEYNE	FOI	50.422862,-4.463342	ST KEYNE WISHING WELL HALT	50.422862	-4.463342
BRWHBNJ	FOI	54.971061,-1.446921	BOLDON NORTH JUNCTION	54.971061	-1.446921
NWBIKTH	FOI	54.635973,-2.549683	KIRKBY THORE SIGNAL BOX	54.635973	-2.549683
SHRBREJ	FOI	53.204883,-1.202938	SHIREBROOK EAST JN	53.204883	-1.202938
WODENDJ	FOI	53.316758,-1.155553	WOODEND JN	53.316758	-1.155553
BRITUFJ	FOI	51.634007,-3.821148	BRITON FERRY U.F.L. JN.	51.634007	-3.821148
CRKLDPT	FOI	51.563137,-0.218033	CRICKLEWOOD DEPOT	51.563137	-0.218033
RADNOT	FOI	52.948785,-1.037477	RADCLIFFE (NOTTS)	52.948785	-1.037477
CALSTCK	FOI	50.497953,-4.208727	CALSTOCK	50.497953	-4.208727
KEARSLY	FOI	53.544416,-2.375273	KEARSLEY	53.544416	-2.375273
MSGT	FOI	53.556302,-2.401689	MOSES GATE	53.556302	-2.401689
SWANIEP	OSM	51.630445,-3.937114	Swansea Maliphant depot	51.630445	-3.937114
HLYW	FOI	55.115884,-3.641899	HOLYWOOD	55.115884	-3.641899
SLADGD	FOI	51.466286,0.191744	SLADE GREEN DEP LONDON END	51.466286	0.191744
THBDUTD	OSM	51.114378,-0.161048	Three Bridges Thames Link Up Depot	51.114378	-0.161048
WTBY	FOI	54.484375,-0.614654	WHITBY	54.484375	-0.614654
KENSLGT	FOI	51.530136,-0.230596	KENSAL GREEN TURNBACK	51.530136	-0.230596
APPLEFD	BPLAN	51.638762,-1.242763	Appleford	51.638762	-1.242763
CLYTNWJ	FOI	53.587318,-1.690511	CLAYTON WEST JUNCTION	53.587318	-1.690511
EBOUCS	FOI	50.769927,0.282082	EASTBOURNE C.S.	50.769927	0.282082
LUTO614	FOI	51.883136,-0.41776	LUTON SIGNAL 614	51.883136	-0.41776
RAMSDWS	FOI	51.340275,1.402665	RAMSGATE DEPOT WASHER SPUR	51.340275	1.402665
ALNGEJN	FOI	52.932573,-0.697502	ALLINGTON EAST JN	52.932573	-0.697502
POOLESS	FOI	50.721701,-1.983033	POOLE S. S.	50.721701	-1.983033
BEREFRS	FOI	50.45123,-4.181446	BERE FERRERS	50.45123	-4.181446
BRSTLCW	FOI	51.452717,-2.571157	BRISTOL BARTON HILL W.R.D.	51.452717	-2.571157
SLSB217	FOI	51.071563,-1.801259	SALISBURY SIGNAL SY217	51.071563	-1.801259
ANGRSTJ	FOI	51.484379,0.024265	ANGERSTEIN JN	51.484379	0.024265
AYNHUGL	FOI	51.993085,-1.278398	AYNHO UP GOODS LOOP	51.993085	-1.278398
BOMOCSD	FOI	50.727311,-1.915861	BOURNEMOUTH T&R.S.M.D	50.727311	-1.915861
ELGH245	OSM	50.966573,-1.350448	Eastleigh Depot Entrance/Exit Signal	50.966573	-1.350448
LSTOKSJ	FOI	51.07535,-1.78193	LAVERSTOCK SOUTH JN	51.07535	-1.78193
NBERWCK	FOI	56.05701,-2.730388	NORTH BERWICK	56.05701	-2.730388
ELFORDL	FOI	52.690165,-1.701977	ELFORD	52.690165	-1.701977
GBROC	FOI	53.399303,-0.769582	GAINSBOROUGH CENTRAL	53.399303	-0.769582
JARRGBF	FOI	54.979655,-1.457444	TYNE COAL TERMINAL GBRF	54.979655	-1.457444
MLTNMUL	FOI	52.761123,-0.880591	MELTON MOWBRAY UP LOOP	52.761123	-0.880591
MONIFTH	FOI	56.479882,-2.817544	MONIFIETH	56.479882	-2.817544
NAIRN	FOI	57.580284,-3.871751	NAIRN	57.580284	-3.871751
NSTCYRE	FOI	50.778667,-3.588628	NEWTON ST CYRES	50.778667	-3.588628
ALNGNJN	FOI	52.933933,-0.697684	ALLINGTON NORTH JN	52.933933	-0.697684
GLAISDL	FOI	54.439471,-0.793924	GLAISDALE	54.439471	-0.793924
LWBY	FOI	54.694357,-2.663544	LANGWATHBY	54.694357	-2.663544
SVRNBCH	BPLAN	51.559294,-2.664942	Severn Beach	51.559294	-2.664942
BRDHSTD	FOI	55.799003,-3.9962	BRAIDHURST DOWN LOOP	55.799003	-3.9962
MOSEUPY	FOI	55.824466,-3.997632	MOSSEND UP YARD	55.824466	-3.997632
PURJUR	OSM	51.475718,0.257703	PURFLEET JURGENS LC	51.475718	0.257703
TMPLRRJ	FOI	51.556814,-0.017299	RUCKHOLT ROAD JUNCTION	51.556814	-0.017299
SCNTTTC	FOI	53.595311,-0.621436	SCUNTHORPE TRENT T.C.	53.595311	-0.621436
WLNGUSG	FOI	52.310608,-0.674496	WELLINGBOROUGH UP TC GBRF	52.310608	-0.674496
ABTH440	FOI	51.446483,-3.525474	ABERTHAW SIG CF3440	51.446483	-3.525474
ARMTHWT	FOI	54.809527,-2.77201	ARMATHWAITE	54.809527	-2.77201
BNBRRN	OSM	52.072684,-1.328894	RESERVOIR NECK	52.072684	-1.328894
BSCTESD	FOI	52.557831,-1.980826	BESCOT UP ENGINEERS SDGS	52.557831	-1.980826
GIDEPKJ	FOI	51.587227,0.219244	GIDEA PARK JN	51.587227	0.219244
GRGMASJ	FOI	58.513453,-3.45201	GEORGEMAS JUNCTION	58.513453	-3.45201
ORPNDSG	FOI	51.378227,0.084803	ORPINGTON DOWN SDGS	51.378227	0.084803
PURF176	OSM	51.476179,0.251804	PURFLEET LS SIGNAL UR1176	51.476179	0.251804
ATNBROJ	FOI	52.897298,-1.246141	ATTENBOROUGH JN	52.897298	-1.246141
NRCHTC	FOI	52.625076,1.308688	NORWICH T.C.	52.625076	1.308688
CNNGTNL	FOI	52.437354,-0.234478	CONNINGTON LOOP	52.437354	-0.234478
DITTFLR	FOI	53.356057,-2.751241	DITTON (OCONNOR) FLINER	53.356057	-2.751241
SWLY631	FOI	51.393057,0.167542	SWANLEY SIGNAL VS631	51.393057	0.167542
BRDSULP	FOI	52.473563,-1.870903	BORDESLEY UP LOOP	52.473563	-1.870903
BSAUKLD	FOI	54.657185,-1.677963	BISHOP AUCKLAND	54.657185	-1.677963
CKHLCSD	FOI	55.835989,-4.324348	CORKERHILL C.S.M.D.	55.835989	-4.324348
FORRES	FOI	57.609825,-3.625683	FORRES	57.609825	-3.625683
RDNGTCA	OSM	51.459371,-0.983713	Reading Depot Entrance	51.459371	-0.983713
DORIUPL	FOI	52.374383,-1.755517	DORRIDGE UP PASSENGER LOOP	52.374383	-1.755517
MDLW	FOI	53.194004,-2.440172	MIDDLEWICH	53.194004	-2.440172
CKHLCSJ	FOI	55.839124,-4.317284	CORKERHILL DEPOT JN	55.839124	-4.317284
HLNMJN	FOI	51.524283,-2.689469	HALLEN MARSH JN	51.524283	-2.689469
LESTRNJ	FOI	52.634048,-1.121573	LEICESTER NORTH JN.	52.634048	-1.121573
PSLYCAN	FOI	55.840134,-4.423418	PAISLEY CANAL	55.840134	-4.423418
RDNG732	FOI	51.460722,-0.98584	READING SIG. T1732	51.460722	-0.98584
BMFRLNJ	FOI	53.51952,-2.610154	BAMFURLONG JN	53.51952	-2.610154
MARCHUS	FOI	52.559318,0.094711	MARCH UP R.S.	52.559318	0.094711
OXFDCS2	OSM	51.75703,-1.27127	Oxford Up Carriage Sidings	51.75703	-1.27127
STAFFSJ	OSM	52.801195,-2.119554	Stafford South Junction	52.801195	-2.119554
FRTWJN	FOI	56.824081,-5.091412	FORT WILLIAM JN	56.824081	-5.091412
HELWTHB	FOI	54.135601,-2.30057	HELWITH BRIDGE	54.135601	-2.30057
ACHILCK	FOI	55.469819,-4.295544	AUCHINLECK	55.469819	-4.295544
DIRFTRR	FOI	52.34409,-1.159081	DAVENTRY INT RFT RECEP RFD	52.34409	-1.159081
PEAKRGB	overlapA	53.292552,-1.867688	PEAK FOREST CEMEX GBRF	53.292552	-1.867688
THMS888	FOI	51.507212,0.464882	THAMES HAVEN SIG UR888	51.507212	0.464882
WKFLDGL	FOI	53.678542,-1.488966	WAKEFIELD KIRKGATE GD LOOP	53.678542	-1.488966
CLAVRDN	FOI	52.276739,-1.696738	CLAVERDON	52.276739	-1.696738
MKTR	FOI	53.383938,-0.336883	MARKET RASEN	53.383938	-0.336883
NWTOAJN	FOI	55.473046,-4.625348	NEWTON JN_(STRATHCLYDE)	55.473046	-4.625348
WHATFHH	FOI	51.246251,-2.354194	WHATLEY QUARRY F LINER HH	51.246251	-2.354194
DENT	FOI	54.282542,-2.363646	DENT	54.282542	-2.363646
THEALGL	FOI	51.433549,-1.073835	THEALE LOOP	51.433549	-1.073835
ASHJN	FOI	51.440045,-2.624578	ASHTON JUNCTION	51.440045	-2.624578
DUNROD	FOI	55.918616,-4.843146	DUNROD	55.918616	-4.843146
HOLBSDG	FOI	53.787736,-1.555988	HOLBECK LOCO SIDINGS	53.787736	-1.555988
TINSLSJ	FOI	53.412462,-1.404571	TINSLEY SOUTH JN	53.412462	-1.404571
ABTH433	FOI	51.414525,-3.494081	ABERTHAW SIG CF3433	51.414525	-3.494081
BARLSOP	NaPTAN	52.941860,-2.171589	Barlaston Orchard Place	52.941860	-2.171589
FRFD	FOI	53.471357,-2.144495	FAIRFIELD	53.471357	-2.144495
NBRG	FOI	56.348165,-3.250068	NEWBURGH	56.348165	-3.250068
BURTBJN	FOI	52.789343,-1.663191	BRANSTON JN	52.789343	-1.663191
CARDGBR	overlapA	51.477336,-3.142141	CARDIFF TIDAL TC GBRf	51.477336	-3.142141
IMNGLOR	FOI	53.639333,-0.240917	LINDSEY OIL REFINERY	53.639333	-0.240917
ROHL	FOI	53.395817,-2.076611	ROSE HILL MARPLE	53.395817	-2.076611
CRKLWRL	FOI	51.563183,-0.218724	CRICKLEWOOD REC LINE	51.563183	-0.218724
DOVYDPL	FOI	52.564773,-3.923787	DOVEY JUNCTION DOWN LOOP	52.564773	-3.923787
KNYMPTN	FOI	50.936234,-3.905446	KINGS NYMPTON	50.936234	-3.905446
PBRODMP	BPLAN	52.685287,0.944202	Dereham Market Place	52.685287	0.944202
PEAKRMC	FOI	53.292552,-1.867688	PEAK FOREST CEMEX SDGS	53.292552	-1.867688
BCHBKFM	FOI	51.166194,0.848871	BEECHBROOK FARM LOOP	51.166194	0.848871
LOOE	FOI	50.359613,-4.456451	LOOE	50.359613	-4.456451
TONBPMY	FOI	51.191813,0.263636	TONBRIDGE JUBILEE SIDINGS	51.191813	0.263636
WENTLOG	FOI	51.516286,-3.087586	WENTLOOG (FREIGHTLINERS)	51.516286	-3.087586
CHCHSTY	FOI	50.834278,-0.794401	CHICHESTER RECP.	50.834278	-0.794401
NEWQUAY	FOI	50.413512,-5.07458	NEWQUAY	50.413512	-5.07458
WARH242	FOI	50.690643,-2.120026	WAREHAM SIGNAL PW5242	50.690643	-2.120026
DVNTYSJ	FOI	52.341045,-1.155763	DAVENTRY SOUTH JN	52.341045	-1.155763
WHATLYQ	FOI	51.246206,-2.354251	WHATLEY QUARRY	51.246206	-2.354251
FILTNWJ	FOI	51.516587,-2.568699	FILTON WEST JN	51.516587	-2.568699
OLDOXDP	OSM	51.525267,-0.218119	Old Oak Common Depart Signal	51.525267	-0.218119
WSTBDS	FOI	51.266184,-2.199508	WESTBURY DMU SIDINGS	51.266184	-2.199508
CROESNF	FOI	53.045878,-3.003699	CROES NEWYDD NORTH FORK	53.045878	-3.003699
ELGIN	FOI	57.642777,-3.310873	ELGIN	57.642777	-3.310873
WACRDAL	FOI	52.520163,-1.679194	WHITACRE DOWN ARLEY LOOP	52.520163	-1.679194
BKNH62	FOI	50.806776,-1.58079	BROCKENHURST SIGNAL BH62	50.806776	-1.58079
BOWSTRT	OSM	52.439462,-4.030645	Bow Street	52.439462	-4.030645
BROHLME	FOI	53.039687,-1.482886	BROADHOLME	53.039687	-1.482886
NWPT273	FOI	51.568806,-3.007045	NEWPORT SIGNAL NT1273	51.568806	-3.007045
DRAXCEG	FOI	53.730178,-0.999654	DRAX POWER STATION	53.730178	-0.999654
GROSMNT	FOI	54.436447,-0.725279	GROSMONT	54.436447	-0.725279
STKGFHH	FOI	51.513999,-2.538001	STOKE GIFFORD (FHH)	51.513999	-2.538001
BRWHBWJ	FOI	54.959256,-1.463668	BOLDON WEST JCN	54.959256	-1.463668
BSCTUDG	FOI	52.562174,-1.989321	BESCOT UP AND DOWN GOODS	52.562174	-1.989321
CHSTRDD	FOI	53.199954,-2.885993	CHESTER D.M.U.D.	53.199954	-2.885993
CREWUML	FOI	53.093305,-2.433976	CREWE UP MANCHESTER LOOP	53.093305	-2.433976
CTNM	FOI	54.467142,-0.946648	CASTLETON MOOR	54.467142	-0.946648
EGTON	FOI	54.437472,-0.761588	EGTON	54.437472	-0.761588
HEREDSL	FOI	52.05747,-2.704462	HEREFORD DIESEL SDGS.	52.05747	-2.704462
OBAN	FOI	56.41232,-5.47437	OBAN	56.41232	-5.47437
SOTODGL	FOI	50.909026,-1.427486	SOUTHAMPTON DOWN LOOP	50.909026	-1.427486
IVRGRD	FOI	57.68909,-4.174274	INVERGORDON	57.68909	-4.174274
COMONDL	FOI	54.481219,-0.97518	COMMONDALE	54.481219	-0.97518
KLDL	FOI	54.47773,-1.068267	KILDALE	54.47773	-1.068267
LEALHLM	FOI	54.460472,-0.82558	LEALHOLM	54.460472	-0.82558
MAIFDLP	FOI	53.474609,-2.22181	MAYFIELD LOOP	53.474609	-2.22181
RAM5143	FOI	51.343873,1.412857	RM EK5143 RAMSGATE	51.343873	1.412857
YOKERCS	FOI	55.88824,-4.371131	YOKER C.S.	55.88824	-4.371131
BRRHL	FOI	55.097346,-4.782118	BARRHILL	55.097346	-4.782118
SOTD107	FOI	50.907027,-1.43421	SOTON W DOCKS BERTH 109	50.907027	-1.43421
MLRHS14	OSM	55.919315,-3.078402	MILLERHILL SIG EM14	55.919315	-3.078402
MRRYTNL	FOI	55.766927,-3.997923	ALLANTON LOOP	55.766927	-3.997923
ROYAOSD	FOI	51.518955,-0.190873	ROYAL OAK SIDINGS	51.518955	-0.190873
RPLLHGP	FOI	51.529438,0.118117	RIPPLE LANE H GROUP SDGS	51.529438	0.118117
YORKYN	FOI	53.968407,-1.118337	YORK YARD NTH R.S.	53.968407	-1.118337
COFTONS	FOI	52.379965,-1.984398	COFTON JN	52.379965	-1.984398
MOSENY	FOI	55.824217,-3.998034	MOSSEND	55.824217	-3.998034
BLKBNBJ	FOI	53.741452,-2.486372	BLACKBURN BOLTON JN	53.741452	-2.486372
BROXDPL	FOI	51.74742,-0.010499	BROXBOURNE DOWN PASS LOOP	51.74742	-0.010499
DANBY	FOI	54.466152,-0.910956	DANBY	54.466152	-0.910956
HATTDGL	FOI	52.296318,-1.66307	HATTON DOWN GOODS LOOP	52.296318	-1.66307
MILFDWS	FOI	53.772867,-1.224721	MILFORD WEST SIDINGS	53.772867	-1.224721
SLSBRYD	FOI	51.071124,-1.80764	SALISBURY T&R.S.M.D	51.071124	-1.80764
TRENTL	FOI	52.889936,-1.259051	DOWN TRENT LOOP	52.889936	-1.259051
WLWYCSD	FOI	51.806863,-0.20104	WELWYN G.C C.S.D.	51.806863	-0.20104
YORK656	OSM	53.954359,-1.098307	YORK SIG Y656	53.954359	-1.098307
DONCIEP	OSM	53.508994,-1.133098	Doncaster Carr rail depot	53.508994	-1.133098
FAYGATE	FOI	51.095935,-0.263117	FAYGATE	51.095935	-0.263117
NMPTEMD	FOI	52.248828,-0.908645	NORTHAMPTON EMD	52.248828	-0.908645
PWLHELI	FOI	52.8882,-4.4159	PWLLHELI	52.8882	-4.4159
WEDGORD	OSM	52.950849,-2.175213	Wedgwood Drive	52.950849	-2.175213
BRNDLHS	FOI	53.503008,-2.29443	BRINDLE HEATH LOOP	53.503008	-2.29443
EXETTMD	FOI	50.730423,-3.544713	EXETER TMD	50.730423	-3.544713
HTHRPAD	FOI	51.447775,0.003519	HITHER GREEN P.A.D.	51.447775	0.003519
KNLYBUS	BPLAN	51.323701,-0.101257	Kenley (A22)	51.323701	-0.101257
WHYTBUS	BPLAN	51.302611,-0.076304	Whyteleafe South (A22)	51.302611	-0.076304
EUSKJN	FOI	51.584525,-2.962981	EAST USK JN.	51.584525	-2.962981
HLYMLS	FOI	53.6628,-1.580727	HEALEY MILLS S.S.	53.6628	-1.580727
SURRQSS	OSM	51.487259,-0.045118	Silwood Triangle Sidings	51.487259	-0.045118
CMUSLP	FOI	56.12751,-3.845083	CAMBUS LOOP	56.12751	-3.845083
CRGHLSB	FOI	54.566896,-0.916408	CRAG HALL S.B.	54.566896	-0.916408
GRVPUHS	FOI	51.4428,0.009388	GROVE PARK UP HEADSHUNT	51.4428	0.009388
HAWDNBG	FOI	53.218157,-3.0323	HAWARDEN BRIDGE	53.218157	-3.0323
LARKHAL	FOI	55.738575,-3.975017	LARKHALL	55.738575	-3.975017
STWMDGL	FOI	52.183282,1.008073	STOWMARKET D.G.L.	52.183282	1.008073
ALLOA	FOI	56.117421,-3.798001	ALLOA	56.117421	-3.798001
MRTNFHH	FOI	52.119938,-2.719263	MORETON-ON-LUGG FHH	52.119938	-2.719263
NWRK094	OSM	53.08122,-0.812214	NEWARK SIGNAL NN4094	53.08122	-0.812214
SKPTBCS	FOI	53.957938,-2.032166	SKIPTON BROUGHTON RD C.S.	53.957938	-2.032166
SLTMRSH	FOI	53.72202,-0.809271	SALTMARSHE	53.72202	-0.809271
STIRCHJ	FOI	56.128599,-3.933663	CAUSEWAYHEAD JUNCTION	56.128599	-3.933663
TYNDRMU	FOI	56.434586,-4.703878	UPPER TYNDRUM	56.434586	-4.703878
STLNWCS	FOI	50.848652,0.521846	ST LEONARDS WM CSD.	50.848652	0.521846
WREXHMC	FOI	53.046308,-2.999607	WREXHAM CENTRAL	53.046308	-2.999607
BLCKNCS	FOI	53.82767,-3.043691	BLACKPOOL NORTH CAR. M.D.	53.82767	-3.043691
BLTCDGL	FOI	51.997901,-0.736831	BLETCHLEY UP&DOWN RELIEF 1	51.997901	-0.736831
FGDHBR	FOI	52.010883,-4.98605	FISHGUARD HARBOUR	52.010883	-4.98605
GOXHILL	FOI	53.676987,-0.337654	GOXHILL	53.676987	-0.337654
LNGY974	FOI	51.881078,-0.189593	LANGLEY JN SIG WL1974	51.881078	-0.189593
NTHWCSJ	FOI	53.256872,-2.497478	NORTHWICH SOUTH JN	53.256872	-2.497478
STNE309	FOI	52.229624,-0.248618	ST NEOTS SOUTH SIG P309	52.229624	-0.248618
BRIGSSC	FOI	53.208911,-1.85155	BRIGGS SDGS STEETLEY COY	53.208911	-1.85155
FRTWLM	FOI	56.820887,-5.103803	FORT WILLIAM	56.820887	-5.103803
CHINCS4	FOI	51.630504,0.007283	CHINGFORD LONDON END SDGS	51.630504	0.007283
EXETE35	FOI	50.724243,-3.544198	EXETER ST DAVIDS SIG. E35	50.724243	-3.544198
GORGIEJ	FOI	55.93649,-3.237239	GORGIE JN	55.93649	-3.237239
HORD	OSM	54.763781,-1.307224	Horden Peterlee	54.763781	-1.307224
MDNHDE	FOI	51.51969,-0.714993	MAIDENHEAD EAST	51.51969	-0.714993
STRO630	FOI	51.393633,0.495558	STROOD SHUNT SIGNAL NK1630	51.393633	0.495558
NWEMJN	FOI	51.564577,-0.304906	NORTH WEMBLEY JN	51.564577	-0.304906
BOORCHY	FOI	56.516153,-4.7642	BRIDGE OF ORCHY	56.516153	-4.7642
BRGHBUS	BPLAN	50.837743,-0.136672	London Road(Ditchling Rse)	50.837743	-0.136672
CREWH44	FOI	53.074354,-2.424517	CREWE SIG.NH43/44	53.074354	-2.424517
DRNSFDR	FOI	51.432798,-0.195516	DURNSFORD ROAD STAFF HALT	51.432798	-0.195516
GRNGMRR	FOI	56.005025,-3.747708	GRANGEMOUTH RUN ROUND	56.005025	-3.747708
NLNCLNJ	FOI	53.595968,-0.619949	NORTH LINCOLN JN	53.595968	-0.619949
SBRKRS	FOI	51.471974,0.335871	SEABROOK R.S.	51.471974	0.335871
CTSARTJ	FOI	51.646543,-3.823978	COURT SART JN	51.646543	-3.823978
KKERRAN	FOI	55.305987,-4.680778	KILKERRAN	55.305987	-4.680778
OXMRSHX	FOI	53.700043,-0.35709	OXMARSH L.C.	53.700043	-0.35709
SOTDWGB	overlapA	50.908055,-1.43862	SOUTHAMPTON W DOCKS (GBRF)	50.908055	-1.43862
BRNDASJ	FOI	53.499087,-2.291433	AGECROFT SOUTH JN	53.499087	-2.291433
RANNOCH	FOI	56.685879,-4.577054	RANNOCH	56.685879	-4.577054
SPEANBD	FOI	56.889901,-4.921384	SPEAN BRIDGE	56.889901	-4.921384
TONBES	FOI	51.1907,0.276019	TONBRIDGE ENGINEERS SIDING	51.1907	0.276019
TULLOCH	FOI	56.884101,-4.70116	TULLOCH	56.884101	-4.70116
WDND478	FOI	52.344146,-1.844388	WOOD END SIGNAL TB 3478	52.344146	-1.844388
WEMBGCJ	FOI	51.555622,-0.259525	WEMBLEY GCJ	51.555622	-0.259525
EUSKJNY	FOI	51.584993,-2.970511	EAST USK JN. N. Y.	51.584993	-2.970511
FLXSNGB	FOI	51.963154,1.308967	FELIXSTOWE NORTH GBRF	51.963154	1.308967
HORSHUS	FOI	51.072419,-0.319753	HORSHAM UP T.C.	51.072419	-0.319753
LCHTTVJ	FOI	52.687614,-1.79629	LICHFIELD T.V. JN.	52.687614	-1.79629
LWELRSJ	FOI	53.489788,-1.105442	LOW ELLERS CURVE JN.	53.489788	-1.105442
MLTNMDL	FOI	52.761123,-0.880591	MELTON MOWBRAY DOWN LOOP	52.761123	-0.880591
OXFDUCS	FOI	51.759756,-1.272197	OXFORD UP CARRIAGE SDGS	51.759756	-1.272197
BOGNS55	OSM	50.791016,-0.673222	BOGNOR REGIS SIGNAL BR55	50.791016	-0.673222
HERNHSD	FOI	51.453884,-0.102625	HERNE HILL SIDING	51.453884	-0.102625
HINKSEY	FOI	51.736533,-1.263765	HINKSEY SDGS	51.736533	-1.263765
LAPFORD	FOI	50.857053,-3.81074	LAPFORD	50.857053	-3.81074
EDENVGL	FOI	54.624902,-2.713354	EDEN VALLEY GOODS LOOP	54.624902	-2.713354
FARNHMD	FOI	51.209187,-0.797623	FARNHAM C.S.D.	51.209187	-0.797623
NPLETB	FOI	51.519449,-0.226758	NORTH POLE TURNBACK SIDING	51.519449	-0.226758
PENZTMD	FOI	50.128318,-5.504491	PENZANCE T.& R.S.M.D.	50.128318	-5.504491
BRST586	OSM	51.51394,-2.534416	BRISTOL PARKWAY SIG BL6586	51.51394	-2.534416
